"client_id","client_name","industry","created_at"
"1","Mason-Salas","Life Sciences","2024-06-05 05:22:22.113340"
"2","Woods, Price and Bridges","Life Sciences","2024-03-25 00:48:47.332586"
"3","Durham-Richardson","Life Sciences","2022-03-26 05:37:25.059485"
"4","Davis-Cox","Life Sciences","2021-09-14 13:21:51.991780"
"5","Coleman Ltd","Life Sciences","2020-05-19 15:10:36.498555"
"6","Gay, Turner and Gregory","Life Sciences","2022-08-19 06:47:37.789715"
"7","Williams, Robertson and Ellison","Life Sciences","2021-02-14 19:11:16.115602"
"8","Harrington PLC","Life Sciences","2020-12-18 13:33:05.616410"
"9","Williams Ltd","Life Sciences","2024-07-03 21:57:52.797903"
"10","Horton Ltd","Life Sciences","2023-12-22 00:34:43.000944"
"11","Silva Inc","Life Sciences","2024-06-01 07:06:42.945176"
"12","Randolph Ltd","Life Sciences","2021-07-12 15:57:20.060289"
"13","Sutton-Richards","Life Sciences","2021-03-10 01:07:36.266709"
"14","Collins PLC","Life Sciences","2020-08-21 20:32:32.767038"
"15","Brown Ltd","Life Sciences","2021-08-05 03:45:25.514761"
"16","Powell-Gibbs","Life Sciences","2023-10-17 04:17:51.284924"
"17","Schmidt, Richards and Hunt","Life Sciences","2023-10-13 20:13:53.342270"
"18","Chang LLC","Life Sciences","2024-06-30 17:12:57.442297"
"19","Parrish, Curry and Kelly","Life Sciences","2022-07-07 17:55:51.442426"
"20","Anthony, Bauer and Gonzalez","Life Sciences","2022-02-22 17:21:54.529885"
"21","Holland-Burns","Life Sciences","2023-08-15 04:47:51.098187"
"22","Butler PLC","Life Sciences","2020-08-14 03:31:42.140262"
"23","Bennett-Owens","Life Sciences","2025-05-23 07:14:11.454623"
"24","Jones-Chapman","Life Sciences","2024-07-27 04:00:15.230037"
"25","Holland PLC","Life Sciences","2020-10-22 23:38:04.499887"
"26","Davis-Martin","Life Sciences","2020-01-04 20:37:24.953812"
"27","Brown LLC","Life Sciences","2025-09-29 22:09:36.222530"
"28","Cunningham, Sullivan and Garza","Life Sciences","2022-01-08 20:58:34.834172"
"29","King-Wagner","Life Sciences","2022-08-27 14:34:15.366547"
"30","Page-Dougherty","Life Sciences","2021-03-14 02:29:03.350405"
"31","Bartlett PLC","Life Sciences","2020-06-30 17:45:13.204155"
"32","Guzman, Smith and Ross","Life Sciences","2020-05-08 08:59:11.989521"
"33","Parker, Trujillo and Mckinney","Life Sciences","2021-05-21 01:04:16.549791"
"34","Harris, Burns and Dorsey","Life Sciences","2021-06-26 15:47:47.326288"
"35","Owen Inc","Life Sciences","2021-01-31 23:42:30.866625"
"36","Olson Inc","Life Sciences","2023-10-14 19:43:54.687046"
"37","Pham, Patel and Ford","Life Sciences","2021-10-13 11:20:08.531209"
"38","Hernandez-Morrow","Life Sciences","2024-01-25 07:18:30.875639"
"39","Landry-Buck","Life Sciences","2021-09-06 22:31:44.717870"
"40","Thompson-Williams","Life Sciences","2024-10-17 15:50:59.442651"
"41","Hernandez-Johnson","Life Sciences","2020-08-01 10:04:28.853928"
"42","Lee-Johnson","Life Sciences","2023-12-17 12:01:26.165406"
"43","Brown PLC","Life Sciences","2021-06-22 06:02:29.713214"
"44","Maldonado, Campbell and Turner","Life Sciences","2021-07-15 14:55:20.504580"
"45","Harris-Warren","Life Sciences","2024-11-05 13:23:45.515988"
"46","Bishop, Walls and Hunter","Life Sciences","2024-04-07 06:11:37.483842"
"47","Deleon-Lang","Life Sciences","2023-09-22 13:26:53.611395"
"48","Martin Ltd","Life Sciences","2020-10-14 11:51:44.920377"
"49","Palmer, Nelson and Stone","Life Sciences","2022-03-23 01:29:46.246096"
"50","Anderson Group","Life Sciences","2022-11-01 17:29:50.435279"
